department_code,department_name_en,department_name_fr,minister_name,minister_name_en,minister_name_fr,start_date,end_date,witness_id
MWGE,Minister for Women and Gender Equality,Ministre des Femmes et de l’Égalité des genres,Maryam Monsef,"Monsef, Maryam (Hon.)","Monsef, Maryam (L’hon.)",2018-12-13 00:00:00,2021-10-26 10:29:59,253407.0
MWGEY,Minister for Women and Gender Equality and Youth,Ministre des femmes et de l’égalité des genres et de la jeunesse,Marci Ien,"Ien, Marci (Hon.)","Ien, Marci (L’hon.)",2021-10-26 10:30:00,2100-01-01 00:00:00,278916.0
PKPCC,President of the King’s Privy Council for Canada,Président du conseil privé du roi pour le canada,Harjit S. Sajjan,"Sajjan, Harjit S. (Hon.)","Sajjan, Harjit S. (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300020.0
PM,Prime Minister,Premier ministre,Justin Trudeau,"Trudeau, Justin (Right Hon.)","Trudeau, Justin (Le très hon.)",2015-11-04 10:45:00,2100-01-01 00:00:00,214296.0
PQPCC,President of the Queen’s Privy Council for Canada,Président du Conseil privé de la Reine pour le Canada,Bill Blair,"Blair, Bill (Hon.)","Blair, Bill (L’hon.)",2021-10-26 10:30:00,2022-10-10 23:59:59,278903.0
PQPCC,President of the Queen’s Privy Council for Canada,Président du Conseil privé de la Reine pour le Canada,Dominic LeBlanc,"LeBlanc, Dominic (Hon.)","LeBlanc, Dominic (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,263834.0
PTB,President of the Treasury Board,Président du Conseil du Trésor,Anita Anand,"Anand, Anita (Hon.)","Anand, Anita (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300030.0
PTB,President of the Treasury Board,Président du Conseil du Trésor,Mona Fortier,"Fortier, Mona (Hon.)","Fortier, Mona (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278907.0
PTB,President of the Treasury Board,Président du Conseil du Trésor,Jean-Yves Duclos,"Duclos, Jean-Yves (Hon.)","Duclos, Jean-Yves (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253369.0
SRP,Special Representative for the Prairies,Représentant spécial pour les Prairies,Jim Carr,"Carr, Jim (Hon.)","Carr, Jim (L’hon.)",2021-01-12 00:00:00,2021-10-26 10:29:59,
